"department","sub_department","department_id","category","sub_category","micro_category","title","description","skill_code","related_skills","bussiness_links","custom_tags","proficiency_level","job_titles","learning_resources","assesment_method","certification_qualifications","experience_project","skill_maps","skill_status","skill_importance","legal_compliance_relevance","sop_practice_link","performance_metrics","common_errors_tips","sme_contacts","sub_skills","skill_flow","tasklist","status","approve_status","sub_institute_id","created_by","updated_by","deleted_by","created_at","updated_at","deleted_at"
"General Management","General Management","857","Technical Skills","Costume, Hair and Make-up","Costume, Hair and Make-up","Special Effects Makeup Material Construction","Construct and modify special effects (SFX) makeup paints, props and prosthetics using appropriate materials and constructing techniques","MED-MED-3071-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Game Design","Game Design","1011","Technical Skills","Game Design","Game Design","Game Concept Design","Conceive idea and evolve it into the overall vision for the game, including genre, universe, broad storyline, character, gameplay outline and monetisation plan","MED-GDP-2001-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Game Design","Game Design","1011","Technical Skills","Game Design","Game Design","Game Technical Design","Design and detail technical requirements to achieve the artistic and gameplay vision of the game","MED-GDP-2003-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Game Design","Game Design","1011","Technical Skills","Game Design","Game Design","Gameplay Design","Design and balance rules of the game, including core game mechanics, game economy, rewards and progression, in order to create an engaging user experience","MED-GDP-2004-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Game Design","Game Design","1011","Technical Skills","Game Design","Game Design","Level Design","Design worlds, levels, missions and quests within the game universe to deliver an engaging user experience","MED-GDP-2005-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Game Technical Development","Game Technical Development","1013","Technical Skills","Game Design","Game Design","Game Production Optimisation","Design asset pipelines and production workflows to enable the efficient integration of art and animation and enhance game development efficiency","MED-GDP-3002-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Game Technical Development","Game Technical Development","1013","Technical Skills","Game Programming and Quality Assurance","Game Programming and Quality Assurance","Game Analytics","Analyse game metrics and performance to improve game features and functionality","MED-DAT-3015-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Game Technical Development","Game Technical Development","1013","Technical Skills","Game Programming and Quality Assurance","Game Programming and Quality Assurance","Audio Programming","Develop programs to implement interactive sound and sound effects within electronic games","MED-GDP-2006-1.2",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Game Technical Development","Game Technical Development","1013","Technical Skills","Game Programming and Quality Assurance","Game Programming and Quality Assurance","Game Artificial Intelligence Development","Design and develop heuristic algorithms, programming logic and code to implement Artificial Intelligence features in games","MED-GDP-2007-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Game Technical Development","Game Technical Development","1013","Technical Skills","Game Programming and Quality Assurance","Game Programming and Quality Assurance","Game Engine Development","Design and develop a suite of customisable tools and programs for specific aspects of game development including graphics, physics, artificial intelligence, gameplay, level and sound development modules, which form the basis of game development","MED-GDP-2008-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Game Technical Development","Game Technical Development","1013","Technical Skills","Game Programming and Quality Assurance","Game Programming and Quality Assurance","Game Level Development","Develop scripts to implement quests, missions and challenges to achieve the vision of gameplay","MED-GDP-2009-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Game Technical Development","Game Technical Development","1013","Technical Skills","Game Programming and Quality Assurance","Game Programming and Quality Assurance","Game Networking","Design and develop tools and programs for game to be played over a local network or internet for multiplayer gameplay","MED-GDP-2010-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Game Technical Development","Game Technical Development","1013","Technical Skills","Game Programming and Quality Assurance","Game Programming and Quality Assurance","Game Porting","Convert games from one platform to another to broaden audience reach","MED-GDP-2012-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Game Technical Development","Game Technical Development","1013","Technical Skills","Game Programming and Quality Assurance","Game Programming and Quality Assurance","Game Server Programming","Design, develop and operationalise game servers and backend systems to support online game operations","MED-GDP-2013-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Quality Assurance","Quality Assurance","1017","Technical Skills","Game Programming and Quality Assurance","Game Programming and Quality Assurance","Game Testing Automation","Develop programmes to automate game testing to improve the efficiency and effectiveness of the game quality assurance processes","MED-GDP-2014-1.2",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Game Technical Development","Game Technical Development","1013","Technical Skills","Game Programming and Quality Assurance","Game Programming and Quality Assurance","Game User Interface Development","Implement and enhance the functionality of user interface for games","MED-GDP-2015-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Game Technical Development","Game Technical Development","1013","Technical Skills","Game Programming and Quality Assurance","Game Programming and Quality Assurance","Gameplay Development","Develop programs for the implementation of gameplay functionalities and features for games","MED-GDP-2016-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Game Technical Development","Game Technical Development","1013","Technical Skills","Game Programming and Quality Assurance","Game Programming and Quality Assurance","Tools Development","Design and develop software tools to perform specialised functions that aid and ease various game development processes","MED-GDP-2017-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Game Technical Development","Game Technical Development","1013","Technical Skills","Game Programming and Quality Assurance","Game Programming and Quality Assurance","Game Physics Development","Design and develop programs to apply the laws of real-world physics on in-game objects to achieve realism in terms of visuals and gameplay","MED-GDP-3011-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Game Programming and Quality Assurance","Game Programming and Quality Assurance","Game Extended Reality Development","Build immersive Extended Reality (XR) games and experiences","MED-MED-4034-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Game Programming and Quality Assurance","Game Programming and Quality Assurance","Systems Architecture","Design and implement the underlying systems that drive games and underpin gameplay experience","MED-MED-4076-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Quality Assurance","Quality Assurance","1017","Technical Skills","Game Programming and Quality Assurance","Game Programming and Quality Assurance","Game Quality Assurance Testing","Plan and execute effective game quality assurance testing processes to ensure the identification and rectification of issues with game performance and to deliver an engaging gameplay experience","MED-QUA-2041-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Production Technical Services","Production Technical Services","1016","Technical Skills","Game Sound","Game Sound","Game Sound Integration","Manage and execute sound synchronisation for computer games and interactive media content","MED-MPN-3002-1.2",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Content Production and Management","Content Production and Management","1010","Technical Skills","Journalism","Journalism","News Delivery and Presentation","Deliver news stories to the audience for various video formats including both short and long form content","MED-JLM-2002-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Content Production and Management","Content Production and Management","1010","Technical Skills","Journalism","Journalism","News Story Research","Conduct research for news reporting","MED-JLM-2005-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Content Production and Management","Content Production and Management","1010","Technical Skills","Journalism","Journalism","News Editing","Edit news to ensure that content is factually accurate, objective and sensitive to the local and global environments","MED-JLM-3003-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Content Production and Management","Content Production and Management","1010","Technical Skills","Journalism","Journalism","News Story Development","Produce news to keep the public informed, educated and entertained on global and local issues, cultures and trends","MED-JLM-3004-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Content Production and Management","Content Production and Management","1010","Technical Skills","Journalism","Journalism","News Bulletin Production","Prepare news bulletins for live news programmes and bulletins","MED-JLM-4001-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Journalism","Journalism","Photojournalism","Capture and deliver images in-line with the news story","MED-MED-3059-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Content Production and Management","Content Production and Management","1010","Technical Skills","Journalism","Journalism","Social Media Content Creation and Management","Social Media Content Creation","MED-OTO-2008-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Marketing","Marketing","Immersive Ad Placement Collaboration","Identify, integrate, and optimise immersive ad placements within programming content to drive effective monetisation opportunities","MED-MED-3043-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
